artist_name,artist_id,title,id,artist_hotttnesss
Straight No Chaser,ARRI65G1187FB5992E,The Christmas Song,SOHVICI12AB0182E71,0.674179
Ryoichi Kurokawa,AR5BOKM1187B9B0A93,Ool,SOBWKGC1372F152683,0.407741
Bahwee,ARBYIOI12C60E4EAED,All Talk,SOPATOR14C72D93D66,0.555725
Aesop Rock,AR6F6I21187FB5A3AA,9-5ers Anthem,SOIBJED12B0B80799B,0.591177
Tonikom,ARHNLBK1187FB59E67,Detector (Haujobb Remix),SOIRTNV13DC022518A,0.521667
Bee Mask,ARVSEYX122BCFC8FAD,Scanops,SOAACSU13AA4CE7CB1,0.498989
Andr?? Verchuren,ARD7U0O1187FB5531A,Gaillardo (Paso-Instrumental),SOIAECH1315CD45CEE,0.448578
Laurent Garnier,ARRYBYF1187FB3929E,Visage a la levre (composed for art exhibitions),SOHYBCQ13CF17E5B5C,0.580046
Us3,ARQCSP31187B9A17ED,Tukka Yoot's Riddim (Roberto's Riddim Remix),SOHYCQW13167717FA3,0.651852
D.A.V.E. The Drummer,AR1CIHR1187FB448B1,Cut'n Paste (Tony Montana Silver Slipper Mix),SOIAQQQ1373D320D20,0.433291
Bernard Parmegiani,ARKH35B1187FB574D3,Les Portes ou premi??re contrainte - La b??te,SOIBAVM1313438C218,0.526699
Mississippi John Hurt,ARHNCQ31187B9915DC,Hop Joint (Live),SOHXXNK13167717710,0.561348
Mat Kearney,AR4FGSF1187FB528BE,Playing Madison Square Garden,SOEPKYS1417946C89C,0.593957
Michael Bubl??,ARN0YZ71187B9BA57B,It Had Better Be Tonight [Meglio Stasera] [Star City Remix],SOIABQD1315CD4A158,0.777181
Farafina,ARAAGW71187B98D942,Banfora,SOIZXIK13E89822E23,0.495283
Dan Patlansky,ARKENZN1187B9B0F63,Standing at the Station,SOIBJZE12B34F32FD6,0.488159
Steve Hofmeyr,AR6OVQQ1187B98B2A6,Kol Op Die Maan,SOETZBX13B0C45C72C,0.509409
Fela Kuti,ARRN6CE1187B989B40,Coffin For Head of State,SOETQCQ13105FA44AF,0.600439
P-Square,ARDSCLE1187B9AD790,Collabo,SOHYXFZ1486D777E81,0.589798
Grendel,ARWIZZ61187FB3C602,L.O.I.C. (Grendel Remix),SOIBGMV14B7679FC90,0.577134
Alban Skenderaj,ARNVCLM12420782114,Verso Il Blu,SOHKOBY12A8C143C7B,0.533182
Queen,ARL4TII1187B9B46E1,Funny How Love Is ???1994 Digital Remaster???,SOIBLTK12A6D4F325F,0.746099
Sweet Weapons,ARNQWQK140C717F7C0,Not Golden,SOIIODE143CA80BF23,0.408744
Martha Scanlan,ARSB3201187FB49FD8,"The Shape Of Things Gone Missing, The Shape Of Things To Come",SOKHWHR14CF2C8A7EF,0.487268
Neko Case,AR14K4J1187B993B60,Blacklisted,SOHYUVV1312A8AA803,0.652583
Calvin Harris,ARJRB241187FB556A3,Sweet Nothing,SOHZGEM13BE088D74A,0.90029
Into It. Over It.,ARYVVLF1241B9CC03B,ChiKeyGo,SOHZAND12A8C143A1F,0.581514
In Control,AROPHXM1187B9A8C17,Know-It-All,SOHYQHK12B552733B3,0.481982
Wiz Khalifa,ARN0GFV1187FB508CC,All Over,SOHZAWF14A436F2A1F,0.858241
Disturbed,ARLNLD51187B98DEC5,Touring (Dan Donegan),SOHZEIM12C563EB4C0,0.739704
Dirtfedd,ARRRSTF1241B9C604C,Said The Spider So She Fly,SOHIXTP1312FDFB562,0.417439
